Key,Museum,Site,Type
BM126787_S308_fig2,British Museum,Nimrud,backtobackBody
BM118194_S205Fig1,British Museum,Nimrud,backtobackHead
BM126675_S206_fig1Dark,British Museum,Nimrud,backtobackBody
BM126675_S206_fig2Light,British Museum,Nimrud,backtobackBody
BM118102_S210_fig1WhtnBl,British Museum,Nimrud,backtobackBody
BM118102_S210_fig2Grey,British Museum,Nimrud,backtobackBody
BM126683_S221_fig1,British Museum,Nimrud,backtobackBody
BM126683_S221_fig2,British Museum,Nimrud,backtobackBody
BM126676_S209a-b,British Museum,Nimrud,full-length figure
BM118224_S150b,British Museum,Nimrud,full-length figure
BM126824_S336c,British Museum,Nimrud,full-length figure
BM126823_S336f,British Museum,Nimrud,full-length figure
BM126677_S215,British Museum,Nimrud,full-length figure
BM126680_S218,British Museum,Nimrud,full-length figure
BM126593_S96,British Museum,Nimrud,full-length figure
BM126678_S216,British Museum,Nimrud,full-length figure
BM92234_StoneHd,British Museum,Nimrud,head
BM92233_StoneHd,British Museum,Nimrud,head
BM139615_StoneHd,British Museum,Nimrud,head
Aleppo1,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo2,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo3,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo4,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo5,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo6,Aleppo Museum, Syria,ArslanTash,head
Aleppo7,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo8,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo9,Aleppo Museum, Syria,ArslanTash,sphinx
Aleppo10,Aleppo Museum, Syria,ArslanTash,full-length figure
